date,permno,tic,conm,PRC,atq,dlcq,dlttq,SHROUT,market_cap,total_debt,leverage,log_return,equity_volatility,rf,merton_pd,pd_valid
2011-09-02,86868,GS,GOLDMAN SACHS GROUP INC,107.06,936910000000.0,388152000000.0,183221000000.0,505794.0,54150305640.0,479762500000.0,0.6098483312164455,-0.0465369983210446,0.2726187131069705,2.02,,False
2011-09-07,86868,GS,GOLDMAN SACHS GROUP INC,108.34,936910000000.0,388152000000.0,183221000000.0,505794.0,54797721960.0,479762500000.0,0.6098483312164455,0.0355133609137862,0.2751648899412626,2.05,,False
2011-09-09,86868,GS,GOLDMAN SACHS GROUP INC,102.25,936910000000.0,388152000000.0,183221000000.0,505794.0,51717436500.0,479762500000.0,0.6098483312164455,-0.0245375525639392,0.2775514118978725,1.93,,False
2011-09-12,86868,GS,GOLDMAN SACHS GROUP INC,102.92,936910000000.0,388152000000.0,183221000000.0,505794.0,52056318480.00001,479762500000.0,0.6098483312164455,0.0065311924906322,0.2762804180874028,1.94,,False
2011-09-13,86868,GS,GOLDMAN SACHS GROUP INC,104.09,936910000000.0,388152000000.0,183221000000.0,505794.0,52648097460.0,479762500000.0,0.6098483312164455,0.0113039221138335,0.2763835866911789,2.0,,False
2011-09-14,86868,GS,GOLDMAN SACHS GROUP INC,104.54,936910000000.0,388152000000.0,183221000000.0,505794.0,52875704760.00001,479762500000.0,0.6098483312164455,0.0043138637573987,0.2764398663038462,2.03,,False
2011-09-19,86868,GS,GOLDMAN SACHS GROUP INC,104.81,936910000000.0,388152000000.0,183221000000.0,505794.0,53012269140.0,479762500000.0,0.6098483312164455,-0.0252486328028861,0.2793491955050264,1.97,,False
2011-12-14,86868,GS,GOLDMAN SACHS GROUP INC,93.25,948909000000.0,392906000000.0,185020000000.0,492313.0,45908187250.0,485416000000.0,0.6090425952330518,-0.0190137970904099,0.3763665226295921,1.92,,False
2011-12-15,86868,GS,GOLDMAN SACHS GROUP INC,91.9,948909000000.0,392906000000.0,185020000000.0,492313.0,45243564700.0,485416000000.0,0.6090425952330518,-0.0145830291622835,0.3765612332474204,1.92,,False
2011-12-16,86868,GS,GOLDMAN SACHS GROUP INC,90.1,948909000000.0,392906000000.0,185020000000.0,492313.0,44357401300.0,485416000000.0,0.6090425952330518,-0.0197808647473492,0.3769662947746691,1.86,,False
2011-12-19,86868,GS,GOLDMAN SACHS GROUP INC,87.7,948909000000.0,392906000000.0,185020000000.0,492313.0,43175850100.0,485416000000.0,0.6090425952330518,-0.0269982652361547,0.3774828784925639,1.82,,False
2011-12-20,86868,GS,GOLDMAN SACHS GROUP INC,90.98,948909000000.0,392906000000.0,185020000000.0,492313.0,44790636740.0,485416000000.0,0.6090425952330518,0.0367178027637207,0.3792021634964962,1.94,,False
2011-12-21,86868,GS,GOLDMAN SACHS GROUP INC,92.0,948909000000.0,392906000000.0,185020000000.0,492313.0,45292796000.0,485416000000.0,0.6090425952330518,0.0111488749071821,0.379299185478502,1.98,,False
2011-12-22,86868,GS,GOLDMAN SACHS GROUP INC,94.42,948909000000.0,392906000000.0,185020000000.0,492313.0,46484193460.0,485416000000.0,0.6090425952330518,0.0259643380691003,0.3802395061572975,1.97,,False
2011-12-23,86868,GS,GOLDMAN SACHS GROUP INC,93.79,948909000000.0,392906000000.0,185020000000.0,492313.0,46174036270.0,485416000000.0,0.6090425952330518,-0.0066946745972935,0.3799461150597707,2.03,,False
2011-12-27,86868,GS,GOLDMAN SACHS GROUP INC,91.9,948909000000.0,392906000000.0,185020000000.0,492313.0,45243564700.0,485416000000.0,0.6090425952330518,-0.0203572111592057,0.3803699023472655,2.02,,False
2011-12-28,86868,GS,GOLDMAN SACHS GROUP INC,90.12,948909000000.0,392906000000.0,185020000000.0,492313.0,44367247560.0,485416000000.0,0.6090425952330518,-0.0195589137975976,0.3806950194820664,1.93,,False
2011-12-29,86868,GS,GOLDMAN SACHS GROUP INC,91.01,948909000000.0,392906000000.0,185020000000.0,492313.0,44805406130.0,485416000000.0,0.6090425952330518,0.0098272750252207,0.380885253964896,1.91,,False
2011-12-30,86868,GS,GOLDMAN SACHS GROUP INC,90.43,948909000000.0,392906000000.0,185020000000.0,492313.0,44519864590.0,485416000000.0,0.6090425952330518,-0.0063933198368755,0.3808653728047617,1.89,,False
